hot_inlet_temperature_k,cold_inlet_mass_flow_kg_s,hot_outlet_temperature_k,cold_outlet_temperature_k,hx_1_heat_load_kw,hot_outlet_pressure_pa,cold_outlet_pressure_pa,hot_outlet_mass_flow_kg_s,cold_outlet_mass_flow_kg_s,hx_1_logarithmic_mean_temperature_difference_lmtd_k,hot_inlet_temperature_k_noisy,cold_inlet_mass_flow_kg_s_noisy,hot_outlet_temperature_k_noisy,cold_outlet_temperature_k_noisy,hx_1_heat_load_kw_noisy,hot_outlet_pressure_pa_noisy,cold_outlet_pressure_pa_noisy,hot_outlet_mass_flow_kg_s_noisy,cold_outlet_mass_flow_kg_s_noisy,hx_1_logarithmic_mean_temperature_difference_lmtd_k_noisy
373.15,0.5,378.649,2011.51,61.3959,500000,100000,1,0.5,61.3959,382.417444309807,0.4830376317378194,391.8368239392793,1613.1159681532563,57.050382172536295,502455.1536419764,100394.18879834068,1.0160076203919732,0.5166000269288452,67.29539866538349
373.15,0.545455,378.394,2011.51,62.4725,500000,100000,1,0.545455,62.4725,370.5703338008986,0.5371231895190035,389.1147947473941,1799.2985821330012,71.9624082680783,498397.2942780849,102814.4874159253,1.0557730800314111,0.5373791010333054,60.16123779833568
373.15,0.590909,378.173,2011.51,63.4044,500000,100000,1,0.590909,63.4044,385.2342488996137,0.5732591077299438,342.75634803522,1893.42864904584,61.51951227883574,523794.7689004884,101705.50976641686,0.9247380905162186,0.5889416745791671,59.72960213259538
373.15,0.636364,377.981,2011.51,64.2172,500000,100000,1,0.636364,64.2172,401.5659295459327,0.6398773035013411,399.888182372648,2041.6160511014125,65.08961568793384,538320.7785356555,93610.42900903542,1.0869802832909166,0.6307836486387344,70.21066935200994
373.15,0.681818,377.811,2011.51,64.9323,500000,100000,1,0.681818,64.9323,368.7812834110993,0.722630893598215,321.51403742577224,2217.5212761593,71.91957331310734,517171.17360336543,99068.89848986037,1.0165043392138131,0.6993425526198417,47.19578426749802
373.15,0.727273,377.661,2011.51,65.5662,500000,100000,1,0.727273,65.5662,368.7815897257207,0.6992350928624722,352.95500933490285,2151.1361391451737,64.98629902107915,525288.5937792616,103263.8977454212,1.005486320444979,0.7376777481243342,57.203806044265065
373.15,0.772727,377.529,2011.51,66.1236,500000,100000,1,0.772727,66.1236,402.6141631053291,0.8113950510389547,302.0576377084504,1774.2876374674895,48.09320330324096,494564.8941923396,102090.20161218964,0.952420760045557,0.8463802443076947,67.72810836466118
373.15,0.818182,377.409,2011.51,66.6304,500000,100000,1,0.818182,66.6304,387.4684134591704,0.7862044990251539,436.2329675140419,1936.739706753117,77.0306142495107,503135.1201534784,96090.64789726389,0.9681580108809008,0.8024670352123918,72.21424052429944
373.15,0.863636,377.301,2011.51,67.0878,500000,100000,1,0.863636,67.0878,364.3907816444186,0.827033931235402,368.5646144384946,2026.87302604311,79.71636215333625,537143.301839991,102079.5173713222,0.9811228417670668,0.9410545884793674,72.76863379955726
373.15,0.909091,377.202,2011.51,67.5029,500000,100000,1,0.909091,67.5029,383.2728140132051,0.9462998500092124,458.93729917007823,1958.7667747104624,48.96205303704566,513167.7865064557,104574.4462590222,0.9287073050467824,0.8267389996785105,49.12142446529057
373.15,0.954545,377.113,2011.51,67.8812,500000,100000,1,0.954545,67.8812,364.5037843963515,0.998546487997264,407.3932855639546,1957.340996021367,57.25822115153721,493949.2531059296,95118.50481894775,0.9842584408906344,0.977908588284114,64.59504181713149
373.15,1.0,377.031,2011.51,68.2274,500000,100000,1,1.0,68.2274,364.4606471227629,1.0425704968381326,393.92569174779504,1664.9784575024685,88.94000663210464,500813.7638696844,90198.83130693717,0.9553936580652348,0.9207197139138854,74.09767922113082
373.15,1.04545,376.956,2011.51,68.5453,500000,100000,1,1.04545,68.5453,377.66441108174325,0.9766699799789172,354.8577953274612,1779.63637276411,70.93103299726813,525928.7822576137,108870.31693203592,1.0341478778440665,0.99192868111784,61.50583017614959
373.15,1.09091,376.886,2011.51,68.8383,500000,100000,1,1.09091,68.8383,337.45297383529714,1.065494470925571,337.4505320449911,1930.458246405786,68.87496954221511,528155.6752581038,101576.67457038871,0.847690837501835,1.037746707173769,67.23194046772402
373.15,1.13636,376.822,2011.51,69.1093,500000,100000,1,1.13636,69.1093,340.9673455398881,1.183120565820445,396.52871944189945,1389.3045622591058,64.68924118107837,478946.7214595057,97713.54085554402,0.9876481627766408,1.0765606336904538,72.22615441944542
373.15,1.18182,376.762,2011.51,69.3605,500000,100000,1,1.18182,69.3605,362.65912042318655,1.1842747489007612,374.0676238838293,2140.376245614302,58.63699231778877,509064.78187617176,97542.22352519688,0.9516155107763112,1.145888253583187,69.81332857839291
